구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
지그재그,,여성_하의,15,리리앤코,[5천장 돌파✨][무료배송][숏/기본/롱][-5˚C쿨링감] 데니브 쿨링 스판 히든밴딩 세미 와이드핏 데님 팬츠 청바지 ( 여름-데일리룩-데이트룩-캐주얼룩-캠퍼스룩-하객룩-격식룩-출근룩-빅사이즈-34사이즈-자체제작-시원한-가벼운-통통녀 ),기본,지그재그/여성/하의/15_리리앤코/[5천장 돌파✨][무료배송][숏_기본_롱][-5˚C쿨링감] 데니브 쿨링 스판 히든밴딩 세미 와이드핏 데님 팬츠 청바지 ( 여름-데일리룩-데이트룩/기본.jpg,https://cf.product-image.s.zigzag.kr/original/c/14/091/865/140918653-6301269501676109187.jpeg,https://zigzag.kr/catalog/products/140918653
지그재그,,여성_하의,17,소이테일,[쿨링✨허얇골넓핏] 레버 로우라이즈 워싱 숏 데님  팬츠,기본,지그재그/여성/하의/17_소이테일/[쿨링✨허얇골넓핏] 레버 로우라이즈 워싱 숏 데님 팬츠/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/6/25/15167_202606250922290533_72535.jpeg,https://zigzag.kr/catalog/products/162931605
지그재그,,여성_하의,18,리얼코코,[여름바지�/50만장돌파/made] 허쉬 코튼 와이드팬츠 (숏/기본/롱),기본,지그재그/여성/하의/18_리얼코코/[여름바지�_50만장돌파_made] 허쉬 코튼 와이드팬츠 (숏_기본_롱)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/7/16/200_202607161556352852_58546.jpeg,https://zigzag.kr/catalog/products/143224732
지그재그,,여성_하의,19,리얼코코,[여름청바지�/3단기장/made] 시그니처 논페이드 데님 팬츠 (2color),기본,지그재그/여성/하의/19_리얼코코/[여름청바지�_3단기장_made] 시그니처 논페이드 데님 팬츠 (2color)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/7/20/200_202607201118376565_61327.jpeg,https://zigzag.kr/catalog/products/158971418
지그재그,,여성_하의,20,고고싱,"[여름바지�밴딩와이드슬랙스] 썸머 뒷밴딩 투핀턱슬랙스 (5color,여름긴바지,여름슬랙스,핀턱팬츠,쿨링,허리밴딩,와이드팬츠,휴양지룩)",기본,"지그재그/여성/하의/20_고고싱/[여름바지�밴딩와이드슬랙스] 썸머 뒷밴딩 투핀턱슬랙스 (5color,여름긴바지,여름슬랙스,핀턱팬츠,쿨링,허리밴딩,와이드팬츠,휴양지룩)/기본.jpg",https://cf.product-image.s.zigzag.kr/original/d/2026/6/11/92_202606111512100865_89347.png,https://zigzag.kr/catalog/products/140991989
지그재그,,여성_신발,1,착한구두,[자체제작/휴양지룩]⛱꼬임 뮬 샌들 여름하객룩 페스티벌룩 여름샌들 여름신발 뮬힐 샌들힐 데일리룩 데이트룩 미들힐 원피스 코디 하바나 MLLTS2f822,기본,지그재그/여성/신발/01_착한구두/[자체제작_휴양지룩]⛱꼬임 뮬 샌들 여름하객룩 페스티벌룩 여름샌들 여름신발 뮬힐 샌들힐 데일리룩 데이트룩 미들힐 원피스 코디 하바나 MLLTS2/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/4/30/4823_202504301719120822_40869.jpeg,https://zigzag.kr/catalog/products/142237664
지그재그,,여성_신발,2,착한구두,�자체제작 메리제인 셔링 플랫 발레코어룩 하객슈즈 하객룩 플랫슈즈 단화 메리제인슈즈 여름구두 여름플랫슈즈 여름단 앨리스 PMLTS1g805,기본,지그재그/여성/신발/02_착한구두/�자체제작 메리제인 셔링 플랫 발레코어룩 하객슈즈 하객룩 플랫슈즈 단화 메리제인슈즈 여름구두 여름플랫슈즈 여름단 앨리스 PMLTS1g805/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2024/1/26/4823_202401261014180410_70827.jpeg,https://zigzag.kr/catalog/products/134422414
지그재그,,여성_신발,3,리끌로우,"[손주연 PICK ! ��] ""미리장만해요!"" 품절대란 완벽방수 뽀송뽀송 ✨데일리 스트링 미들 SHIRRING 레인부츠 7컬러",기본,지그재그/여성/신발/03_리끌로우/[손주연 PICK ! ��] _미리장만해요!_ 품절대란 완벽방수 뽀송뽀송 ✨데일리 스트링 미들 SHIRRING 레인부츠 7컬러/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/6/9/3837_202506091612250751_76533.jpeg,https://zigzag.kr/catalog/products/140693776
지그재그,,여성_신발,4,소보,소아르 소가죽 스퀘어 뮬슬리퍼 6cm,기본,지그재그/여성/신발/04_소보/소아르 소가죽 스퀘어 뮬슬리퍼 6cm/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2025/3/6/528_202503061644320659_62568.jpeg,https://zigzag.kr/catalog/products/159079786
지그재그,,여성_신발,5,곰블리,누적 4만족벨로아 쿠션 스트랩 샌들 여름 하객룩 휴가 바캉스 페스티벌 슈즈 (1.5cm),기본,지그재그/여성/신발/05_곰블리/누적 4만족벨로아 쿠션 스트랩 샌들 여름 하객룩 휴가 바캉스 페스티벌 슈즈 (1.5cm)/기본.jpg,https://cf.product-image.s.zigzag.kr/original/d/2026/5/11/6795_202605111346120131_79131.gif,https://zigzag.kr/catalog/products/124012624
