구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
w컨셉,여성,신발,12,마크모크,[20%쿠폰] Hoi 호이 더블 버클 플랫형 샌들_4color 2cm,기본,w컨셉/여성/신발/12_마크모크/[20%쿠폰] Hoi 호이 더블 버클 플랫형 샌들_4color 2cm/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/82/306875782_add1_BU14229.jpg,https://www.wconcept.co.kr/Product/306875782
w컨셉,여성,신발,13,로서울,[20%쿠폰] Puzzle sandals Black,기본,w컨셉/여성/신발/13_로서울/[20%쿠폰] Puzzle sandals Black/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/06/301639306_add2_WI89162.jpg,https://www.wconcept.co.kr/Product/301639306
w컨셉,여성,신발,14,러브듀이,"[30%쿠폰] [단독]LINE WEDGE slingback (4cm, 4colors)_라인웨지슬링백",기본,"w컨셉/여성/신발/14_러브듀이/[30%쿠폰] [단독]LINE WEDGE slingback (4cm, 4colors)_라인웨지슬링백/기본.jpg",https://product-image.wconcept.co.kr/productimg/image/img0/80/305951980_add2_GC88240.jpg,https://www.wconcept.co.kr/Product/305951980
w컨셉,여성,신발,15,캠퍼,[공식]캠퍼 26SS 여성 샌들 Dana K201489-001,기본,w컨셉/여성/신발/15_캠퍼/[공식]캠퍼 26SS 여성 샌들 Dana K201489-001/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img2/05/308425205_LH33548.jpg,https://www.wconcept.co.kr/Product/308425205
w컨셉,여성,신발,18,앤티어리,[화이트 단독] Mishmash sling back 4Color,기본,w컨셉/여성/신발/18_앤티어리/[화이트 단독] Mishmash sling back 4Color/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/79/307230679_add6_NQ17778.jpg,https://www.wconcept.co.kr/Product/307230679
w컨셉,여성,신발,19,이이에,[20%쿠폰] [단독]모드 버튼 샌들_6colors,기본,w컨셉/여성/신발/19_이이에/[20%쿠폰] [단독]모드 버튼 샌들_6colors/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img2/77/306858677_HP10635.jpg,https://www.wconcept.co.kr/Product/306858677
w컨셉,여성,신발,20,사뿐,[30%쿠폰] 르네린 매쉬 리본 샌들 뮬 (5cm),기본,w컨셉/여성/신발/20_사뿐/[30%쿠폰] 르네린 매쉬 리본 샌들 뮬 (5cm)/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img0/63/305902663_add1_KG74821.jpg,https://www.wconcept.co.kr/Product/305902663
w컨셉,남성,상의,2,사일육공,BUTTON LAYERED T-SHIRT_VER BALANCE(BLACK),기본,w컨셉/남성/상의/02_사일육공/BUTTON LAYERED T-SHIRT_VER BALANCE(BLACK)/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img2/76/308826376_YV95453.jpg,https://www.wconcept.co.kr/Product/308826376
w컨셉,남성,상의,3,솔티,3N605 Utility Poket Long Sleeve (Melange Gray),기본,w컨셉/남성/상의/03_솔티/3N605 Utility Poket Long Sleeve (Melange Gray)/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img2/62/308496062_IH50713.jpg,https://www.wconcept.co.kr/Product/308496062
w컨셉,남성,상의,4,솔티,Essential Comfort Poket Long Sleeve (Brown),기본,w컨셉/남성/상의/04_솔티/Essential Comfort Poket Long Sleeve (Brown)/기본.jpg,https://product-image.wconcept.co.kr/productimg/image/img2/71/308495871_HH25643.jpg,https://www.wconcept.co.kr/Product/308495871
