구분,성별,부위,순위,브랜드,아이템명,색상,이미지경로,이미지URL,디테일페이지URL
에이블리,여성,상의,3,온유어리,,기본,(이미지 미포함),https://d3ha2047wt6x28.cloudfront.net/o9y7-ejnJwI/pr:GOODS_DETAIL/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjYwNjIwXzE3ODE5NDkxNjE3MDE5MTRtLmpwZw,https://m.a-bly.com/goods/71551100
에이블리,여성,상의,6,어바웃영,,기본,(이미지 미포함),https://d3ha2047wt6x28.cloudfront.net/HK1q3KDpMFY/pr:GOODS_DETAIL/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjYwNjExXzE3ODExODAwMDYzNjExOTBtLmpwZw,https://m.a-bly.com/goods/70643796
에이블리,여성,상의,7,온유어리,,기본,(이미지 미포함),https://d3ha2047wt6x28.cloudfront.net/3QP3eIbxHW0/pr:REVIEW_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL3Jldmlldy9yZXZpZXdfMTc4MzgyNDE0NzcxOTEyMi5qcGc,https://m.a-bly.com/goods/72193190
에이블리,여성,상의,8,앤드모어,,기본,(이미지 미포함),https://d3ha2047wt6x28.cloudfront.net/oEviQRF9eoQ/pr:REVIEW_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL3Jldmlldy9yZXZpZXdfMTc4MDY1ODM4NTQzNTI0NC5qcGc,https://m.a-bly.com/goods/68195965
에이블리,여성,상의,9,앤드모어,,기본,(이미지 미포함),https://d3ha2047wt6x28.cloudfront.net/EDUSNLSYimY/pr:NEW_GOODS_THUMB_WEBP/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzL2M5MWQ1NzNjNGY3NjhhZjk3YTY1MGZkY2E5MWFkNmUxLmdpZg,https://m.a-bly.com/goods/46913117
에이블리,여성,상의,13,프랑제이,,기본,(이미지 미포함),https://d3ha2047wt6x28.cloudfront.net/x91RCydb6dY/pr:GOODS_DETAIL/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjYwNzAxXzE3ODI4NzkyNzIxNzE0MDNtLmpwZw,https://m.a-bly.com/goods/73027052
에이블리,여성,상의,18,블리즈,,기본,(이미지 미포함),https://d3ha2047wt6x28.cloudfront.net/sXK8olVdVf8/pr:GOODS_DETAIL/czM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUwNDI3XzE3NDU3NjA4NzI1MTkyODJtLmpwZw,https://m.a-bly.com/goods/45368154
